icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
06a10a,A7-ALV,AIRBUS,A350 941,A359,106,L2J,QATARI,QTR,,,,,,,,
75855a,RP-C3507,AIRBUS,A350-941,A359,,L2J,PHILIPPINE,PAL,,2019-02-19,,,,,,
3c670f,D-AIXO,AIRBUS,A350-941,A359,314,L2J,LUFTHANSA,DLH,,,,,,,,
780aba,B-LRO,AIRBUS,A350-941,A359,93,L2J,CATHAY,CPA,,,,,2017-04-01,,,
76cdaf,9V-SMO,AIRBUS,A350-941,A359,116,L2J,SINGAPORE,SIA,,,,,2017-05-01,,,
780aad,B-LRJ,AIRBUS,A350 941,A359,61,L2J,CATHAY,CPA,,,,,,,,
06a101,A7-ALM,AIRBUS,A350 941,A359,42,L2J,QATARI,QTR,,,,,,,,
06a109,A7-ALU,AIRBUS,A350 941,A359,100,L2J,QATARI,QTR,,,,,,,,
4078dd,G-XWBF,AIRBUS,Airbus 350-1041,A35K,402,L2J,SPEEDBIRD,BAW,,,,,,,,RR TRENT XWB-97
780ab9,B-LRN,AIRBUS,A350 941,A359,85,L2J,CATHAY,CPA,,,,,,,,
3c670c,D-AIXL,AIRBUS,A350-941,A359,255,L2J,LUFTHANSA,DLH,,,,,,,,
780ac7,B-LGA,AIRBUS,A350 941,A359,124,L2J,BAUHINIA,CRK,,,,,,,,
04012a,ET-ATQ,AIRBUS,A350 941,A359,40,L2J,ETHIOPIAN,ETH,F-WZGM,2016-06-28,,,2016-01-01,,,
06a120,A7-AND,AIRBUS,A350-1041,A35K,,L2J,QATARI,QTR,,,,,,,,2
8880000000,VN-A888,AIRBUS,A350 941,A359,16,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
888124,VN-A891,AIRBUS,A350 941,A359,67,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
4075b3,G-VLUX,AIRBUS,A350-1041,A35K,,L2J,VIRGIN,VIR,,2019-08-09,,,,,,2
3c670a,D-AIXJ,AIRBUS,A350-941,A359,209,L2J,LUFTHANSA,DLH,,,,,,,,
3c6705,D-AIXE,AIRBUS,A350 941,A359,136,L2J,LUFTHANSA,DLH,,,,,,,,
3c6710,D-AIXP,AIRBUS,A350-941,A359,390,L2J,LUFTHANSA,DLH,,,,,,,,
780aaa,B-LRF,AIRBUS,A350-941,A359,46,L2J,CATHAY,CPA,,,,,2016-09-01,,,
06a0e0,A7-AMA,AIRBUS,A350 941,A359,79,L2J,QATARI,QTR,,,,,,,,
8900ec,B-18917,AIRBUS,,A350,,,CAL 006,ICL,,,,,,,,
885104,HS-THD,AIRBUS,Airbus A350 941,A359,95,L2J,THAI,THA,,,,,,,,
76cdaa,9V-SMJ,AIRBUS,A350 941,A359,81,L2J,SINGAPORE,SIA,,,,,,,,
461f52,OH-LWK,AIRBUS,A350 941,A359,113,L2J,FINNAIR,FIN,,,,,,,,
76cd05,9V-SHE,AIRBUS,A350-900,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
71c078,HL8078,AIRBUS,A350 941,A359,94,L2J,ASIANA,AAR,,,,,,,,
4aca62,SE-RSB,AIRBUS,A350-941,A359,378,L2J,SCANDINAVIAN,SAS,,,,,,,,RR TRENT XWB
06a0ff,A7-ALK,AIRBUS,A350 941,A359,33,L2J,QATARI,QTR,,,,,,,,
38e83b,F-WMIL,AIRBUS,A350 1041,A35K,59,L2J,,,,,,,,,,
06a104,A7-ALP,AIRBUS,A350 941,A359,69,L2J,QATARI,QTR,,,,,,,,
71bd78,HL7578,AIRBUS,Airbus A350 941,A359,144,L2J,ASIANA,AAR,,,,,,,,
76cda3,9V-SMC,AIRBUS,A350 941,A359,31,L2J,SINGAPORE,SIA,,,,,,,,
3c6702,D-AIXB,AIRBUS,A350 941,A359,80,L2J,LUFTHANSA,DLH,,,,,,,,
789203,B-LRV,AIRBUS,A350 941,A359,154,L2J,CATHAY,CPA,,,,,,,,
76cda1,9V-SMA,AIRBUS,A350 941,A359,26,L2J,SINGAPORE,SIA,,,,,,,,
